,precision,recall,f1-score,support
executive,0.76,0.76,0.76,25.0
instrumental,0.8767123287671232,0.8888888888888888,0.8827586206896552,72.0
other,0.5555555555555556,0.5,0.5263157894736842,10.0
accuracy,0.822429906542056,0.822429906542056,0.822429906542056,0.822429906542056
macro avg,0.7307559614408929,0.7162962962962963,0.7230248033877799,107.0
weighted avg,0.8194284413718544,0.822429906542056,0.8207642858354394,107.0
